ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,991.2256,237.67166,0.019607844,0.16129032
1,1,1,1,MOVE,13,989.90704,236.35373,0.027450982,0.22580644
1,1,1,1,MOVE,30,989.361,235.80798,0.03529412,0.29032257
1,1,1,1,MOVE,47,987.80927,234.25693,0.04705883,0.38709676
1,1,1,1,MOVE,53,986.2295,234.67542,0.050980397,0.41935483
1,1,2,1,MOVE,53,986.2295,234.67542,0.050980397,0.41935483
1,1,2,2,DOWN,53,696.4559,210.70537,0.03529412,0.29032257
1,1,2,1,MOVE,79,982.7323,232.17853,0.058823533,0.48387095
1,1,2,2,MOVE,79,695.45667,210.70537,0.08235294,0.6774193
1,1,2,1,MOVE,85,981.2334,232.67792,0.0627451,0.516129
1,1,2,2,MOVE,85,694.45746,210.70537,0.10196079,0.83870965
1,1,3,1,MOVE,85,981.2334,232.67792,0.0627451,0.516129
1,1,3,2,MOVE,85,694.45746,210.70537,0.10196079,0.83870965
1,1,3,3,DOWN,85,874.31696,145.78651,0.019607844,0.16129032
1,1,3,1,MOVE,96,979.09503,231.60922,0.0627451,0.516129
1,1,3,2,MOVE,96,693.38824,210.70537,0.121568635,1.0
1,1,3,3,MOVE,96,873.31775,144.78777,0.027450982,0.22580644
1,1,3,1,MOVE,113,977.617,230.6804,0.0627451,0.516129
1,1,3,2,MOVE,113,692.83954,210.70537,0.13725491,0.12903225
1,1,3,3,MOVE,113,873.31775,144.78777,0.03529412,0.29032257
1,1,3,1,MOVE,129,976.0673,229.51175,0.0627451,0.516129
1,1,3,2,MOVE,129,691.2898,209.53671,0.15686275,0.16129032
1,1,3,3,MOVE,129,872.1485,143.61911,0.050980397,0.41935483
1,1,3,1,MOVE,149,975.2381,228.6829,0.0627451,0.516129
1,1,3,2,MOVE,149,690.4606,208.70787,0.16470589,0.16129032
1,1,3,3,MOVE,149,871.3193,143.78902,0.0627451,0.516129
1,1,4,1,MOVE,149,975.2381,228.6829,0.0627451,0.516129
1,1,4,2,MOVE,149,690.4606,208.70787,0.16470589,0.16129032
1,1,4,3,MOVE,149,871.3193,143.78902,0.0627451,0.516129
1,1,4,4,DOWN,149,688.46216,235.67416,0.03137255,0.2580645
1,1,4,1,MOVE,162,973.96704,227.41241,0.0627451,0.516129
1,1,4,2,MOVE,162,689.1895,207.4374,0.16862746,0.16129032
1,1,4,3,MOVE,162,870.0482,143.78902,0.06666667,0.54838705
1,1,4,4,MOVE,162,687.4629,235.67416,0.050980397,0.41935483
1,1,4,1,MOVE,179,972.4129,226.6854,0.0627451,0.516129
1,1,4,2,MOVE,179,688.63464,206.88277,0.17254902,0.16129032
1,1,4,3,MOVE,179,869.49335,143.78902,0.07058824,0.58064514
1,1,4,4,MOVE,179,686.63617,235.67416,0.06666667,0.54838705
1,1,4,1,MOVE,196,970.8768,225.32239,0.0627451,0.516129
1,1,4,2,MOVE,196,687.09845,205.34735,0.18039216,0.16129032
1,1,4,3,MOVE,196,867.95715,143.78902,0.078431375,0.6451613
1,1,4,4,MOVE,196,685.10004,235.67416,0.09411766,0.7741935
1,1,4,1,MOVE,212,967.42126,224.6879,0.0627451,0.516129
1,1,4,2,MOVE,212,686.5522,204.8013,0.18431373,0.16129032
1,1,4,3,MOVE,212,867.4109,143.78902,0.08235294,0.6774193
1,1,4,4,MOVE,212,684.5538,235.67416,0.10588236,0.87096775
1,1,4,1,MOVE,229,965.76965,223.21388,0.0627451,0.516129
1,1,4,2,MOVE,229,684.989,203.23885,0.19215688,0.19354838
1,1,4,3,MOVE,229,865.8477,143.78902,0.09019608,0.7419355
1,1,4,4,MOVE,229,682.9906,235.67416,0.12941177,0.12903225
1,1,4,1,MOVE,245,962.2042,222.6904,0.0627451,0.516129
1,1,4,2,MOVE,245,682.4228,202.69336,0.19215688,0.19354838
1,1,4,3,MOVE,245,865.30194,143.78902,0.098039225,0.80645156
1,1,4,4,MOVE,245,682.44476,235.67416,0.14509805,0.12903225
1,1,4,1,MOVE,262,960.1062,222.6904,0.0627451,0.516129
1,1,4,2,MOVE,262,680.8962,201.71661,0.19215688,0.19354838
1,1,4,3,MOVE,262,864.32477,143.78902,0.10196079,0.83870965
1,1,4,4,MOVE,262,681.4676,235.67416,0.15294118,0.12903225
1,1,4,1,MOVE,278,957.0066,221.56892,0.0627451,0.516129
1,1,4,2,MOVE,278,679.34644,200.59514,0.19215688,0.19354838
1,1,4,3,MOVE,278,863.2027,143.78902,0.10196079,0.83870965
1,1,4,4,MOVE,278,680.34564,235.67416,0.16470589,0.16129032
1,1,4,1,MOVE,295,954.9321,221.03154,0.0627451,0.516129
1,1,4,2,MOVE,295,678.47,199.7191,0.19607845,0.19354838
1,1,4,3,MOVE,295,862.3263,143.78902,0.10588236,0.87096775
